image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,Start_button.started,mouse.started,Start_button.numClicks,Start_button.timesOn,Start_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Landmark.started,text_4.started,yesbutton.started,nobutton.started,yesbutton.numClicks,yesbutton.timesOn,yesbutton.timesOff,nobutton.numClicks,nobutton.timesOn,nobutton.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,27.86237250800059,30.874753249000605,30.874753249000605,0.0036678639999081497,1,[5.643460162999872],[5.643467590999535],[],[],[],[],[],[],,,,,,,,,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_1.JPG,0,0,0,0,,,,,,,,,,,,,,37.01509704700038,37.01509704700038,37.01509704700038,37.01509704700038,1,[6.874424423999699],[6.874439881999933],0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_2.JPG,0,1,1,1,,,,,,,,,,,,,,44.142511650000415,44.142511650000415,44.142511650000415,44.142511650000415,2,"[6.874424423999699, 1.7258526920004442]","[0.09321054100018955, 1.7258563060004235]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_3.JPG,0,2,2,2,,,,,,,,,,,,,,46.112125214000116,46.112125214000116,46.112125214000116,46.112125214000116,3,"[6.874424423999699, 1.7258526920004442, 0.6803223520000756]","[0.09321054100018955, 1.7258563060004235, 0.6803261969998857]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_4.JPG,0,3,3,3,,,,,,,,,,,,,,47.0519368690002,47.0519368690002,47.0519368690002,47.0519368690002,4,"[6.874424423999699, 1.7258526920004442, 0.6803223520000756, 5.044748353999239]","[0.09321054100018955, 1.7258563060004235, 0.6803261969998857, 5.04475188699962]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_5.JPG,0,4,4,4,,,,,,,,,,,,,,52.33372831300039,52.33372831300039,52.33372831300039,52.33372831300039,5,"[6.874424423999699, 1.7258526920004442, 0.6803223520000756, 5.044748353999239, 0.9193235310003729]","[0.09321054100018955, 1.7258563060004235, 0.6803261969998857, 0.05044240400002309, 0.9193271849999292]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_6.JPG,0,5,5,5,,,,,,,,,,,,,,53.50904892700055,53.50904892700055,53.50904892700055,53.50904892700055,6,"[6.874424423999699, 1.7258526920004442, 0.6803223520000756, 5.044748353999239, 0.9193235310003729, 0.7336190489995715]","[0.09321054100018955, 1.7258563060004235, 0.6803261969998857, 0.05044240400002309, 0.046162225999978546, 0.7336225279996142]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_7.JPG,0,6,6,6,,,,,,,,,,,,,,54.50446812200062,54.50446812200062,54.50446812200062,54.50446812200062,7,"[6.874424423999699, 1.7258526920004442, 0.6803223520000756, 5.044748353999239, 0.9193235310003729, 0.7336190489995715, 0.7432917270007238]","[0.09321054100018955, 1.7258563060004235, 0.6803261969998857, 0.05044240400002309, 0.046162225999978546, 0.7336225279996142, 0.7432952290000685]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_8.JPG,0,7,7,7,,,,,,,,,,,,,,55.50781040699985,55.50781040699985,55.50781040699985,55.50781040699985,8,"[6.874424423999699, 1.7258526920004442, 0.6803223520000756, 5.044748353999239, 0.9193235310003729, 0.7336190489995715, 0.7432917270007238, 0.9501340980004898]","[0.09321054100018955, 1.7258563060004235, 0.6803261969998857, 0.05044240400002309, 0.046162225999978546, 0.7336225279996142, 0.7432952290000685, 0.950154857000598]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark_9.JPG,0,8,8,8,,,,,,,,,,,,,,56.699375103999955,56.699375103999955,56.699375103999955,56.699375103999955,9,"[6.874424423999699, 1.7258526920004442, 0.6803223520000756, 5.044748353999239, 0.9193235310003729, 0.7336190489995715, 0.7432917270007238, 0.9501340980004898, 0.7084037670001635]","[0.09321054100018955, 1.7258563060004235, 0.6803261969998857, 0.05044240400002309, 0.046162225999978546, 0.7336225279996142, 0.7432952290000685, 0.950154857000598, 0.7084076510000159]",0,,,,491246,001,2023-05-19_08h14.22.120,SEAL_LandTrav,2022.2.4,None,
